id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,harapan_lama_sekolah,satuan,tahun
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,12.03,TAHUN,2016
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,11.89,TAHUN,2016
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,12.91,TAHUN,2016
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,12.2,TAHUN,2016
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,11.66,TAHUN,2016
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,11.82,TAHUN,2016
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,11.85,TAHUN,2016
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,12.23,TAHUN,2016
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11.56,TAHUN,2016
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,12.02,TAHUN,2016
181,32,JAWA BARAT,3271,KOTA BOGOR,13.01,TAHUN,2016
182,32,JAWA BARAT,3272,KOTA SUKABUMI,13.38,TAHUN,2016
183,32,JAWA BARAT,3273,KOTA BANDUNG,13.89,TAHUN,2016
184,32,JAWA BARAT,3274,KOTA CIREBON,13.07,TAHUN,2016
185,32,JAWA BARAT,3275,KOTA BEKASI,13.47,TAHUN,2016
186,32,JAWA BARAT,3276,KOTA DEPOK,13.86,TAHUN,2016
187,32,JAWA BARAT,3277,KOTA CIMAHI,13.75,TAHUN,2016
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,13.4,TAHUN,2016
189,32,JAWA BARAT,3279,KOTA BANJAR,13.18,TAHUN,2016
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,12.43,TAHUN,2017
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,12.19,TAHUN,2017
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,11.89,TAHUN,2017
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,12.43,TAHUN,2017
194,32,JAWA BARAT,3205,KABUPATEN GARUT,11.73,TAHUN,2017
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,12.47,TAHUN,2017
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,13.66,TAHUN,2017
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,12.06,TAHUN,2017
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,12.21,TAHUN,2017
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,12.18,TAHUN,2017
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,12.93,TAHUN,2017
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,12.21,TAHUN,2017
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,11.67,TAHUN,2017
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,11.89,TAHUN,2017
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,11.96,TAHUN,2017
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,12.63,TAHUN,2017
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11.79,TAHUN,2017
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,12.03,TAHUN,2017
208,32,JAWA BARAT,3271,KOTA BOGOR,13.37,TAHUN,2017
209,32,JAWA BARAT,3272,KOTA SUKABUMI,13.39,TAHUN,2017
210,32,JAWA BARAT,3273,KOTA BANDUNG,13.9,TAHUN,2017
211,32,JAWA BARAT,3274,KOTA CIREBON,13.08,TAHUN,2017
212,32,JAWA BARAT,3275,KOTA BEKASI,13.51,TAHUN,2017
213,32,JAWA BARAT,3276,KOTA DEPOK,13.87,TAHUN,2017
214,32,JAWA BARAT,3277,KOTA CIMAHI,13.76,TAHUN,2017
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,13.41,TAHUN,2017
216,32,JAWA BARAT,3279,KOTA BANJAR,13.19,TAHUN,2017
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,12.44,TAHUN,2018
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,12.2,TAHUN,2018
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,11.9,TAHUN,2018
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,12.64,TAHUN,2018
221,32,JAWA BARAT,3205,KABUPATEN GARUT,11.8,TAHUN,2018
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,12.48,TAHUN,2018
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,13.67,TAHUN,2018
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,12.07,TAHUN,2018
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,12.22,TAHUN,2018
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,12.19,TAHUN,2018
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,12.94,TAHUN,2018
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,12.22,TAHUN,2018
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,11.68,TAHUN,2018
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,12.09,TAHUN,2018
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,12.07,TAHUN,2018
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,13.05,TAHUN,2018
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11.83,TAHUN,2018
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,12.04,TAHUN,2018
235,32,JAWA BARAT,3271,KOTA BOGOR,13.38,TAHUN,2018
236,32,JAWA BARAT,3272,KOTA SUKABUMI,13.4,TAHUN,2018
237,32,JAWA BARAT,3273,KOTA BANDUNG,14.18,TAHUN,2018
238,32,JAWA BARAT,3274,KOTA CIREBON,13.09,TAHUN,2018
239,32,JAWA BARAT,3275,KOTA BEKASI,13.76,TAHUN,2018
240,32,JAWA BARAT,3276,KOTA DEPOK,13.9,TAHUN,2018
241,32,JAWA BARAT,3277,KOTA CIMAHI,13.77,TAHUN,2018
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,13.42,TAHUN,2018
243,32,JAWA BARAT,3279,KOTA BANJAR,13.2,TAHUN,2018
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,12.47,TAHUN,2019
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,12.22,TAHUN,2019
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,11.98,TAHUN,2019
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,12.68,TAHUN,2019
248,32,JAWA BARAT,3205,KABUPATEN GARUT,11.82,TAHUN,2019
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,12.52,TAHUN,2019
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,13.79,TAHUN,2019
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,12.1,TAHUN,2019
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,12.24,TAHUN,2019
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,12.21,TAHUN,2019
254,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,12.96,TAHUN,2019
255,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,12.24,TAHUN,2019
256,32,JAWA BARAT,3213,KABUPATEN SUBANG,11.69,TAHUN,2019
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,12.1,TAHUN,2019
258,32,JAWA BARAT,3215,KABUPATEN KARAWANG,12.08,TAHUN,2019
259,32,JAWA BARAT,3216,KABUPATEN BEKASI,13.08,TAHUN,2019
260,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11.86,TAHUN,2019
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,12.06,TAHUN,2019
262,32,JAWA BARAT,3271,KOTA BOGOR,13.4,TAHUN,2019
263,32,JAWA BARAT,3272,KOTA SUKABUMI,13.46,TAHUN,2019
264,32,JAWA BARAT,3273,KOTA BANDUNG,14.19,TAHUN,2019
265,32,JAWA BARAT,3274,KOTA CIREBON,13.11,TAHUN,2019
266,32,JAWA BARAT,3275,KOTA BEKASI,13.99,TAHUN,2019
267,32,JAWA BARAT,3276,KOTA DEPOK,13.91,TAHUN,2019
268,32,JAWA BARAT,3277,KOTA CIMAHI,13.79,TAHUN,2019
269,32,JAWA BARAT,3278,KOTA TASIKMALAYA,13.44,TAHUN,2019
270,32,JAWA BARAT,3279,KOTA BANJAR,13.22,TAHUN,2019
271,32,JAWA BARAT,3201,KABUPATEN BOGOR,12.48,TAHUN,2020
272,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,12.23,TAHUN,2020
273,32,JAWA BARAT,3203,KABUPATEN CIANJUR,11.99,TAHUN,2020
274,32,JAWA BARAT,3204,KABUPATEN BANDUNG,12.69,TAHUN,2020
275,32,JAWA BARAT,3205,KABUPATEN GARUT,11.91,TAHUN,2020
276,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,12.53,TAHUN,2020
277,32,JAWA BARAT,3207,KABUPATEN CIAMIS,14.06,TAHUN,2020
278,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,12.22,TAHUN,2020
279,32,JAWA BARAT,3209,KABUPATEN CIREBON,12.25,TAHUN,2020
280,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,12.22,TAHUN,2020
281,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,12.97,TAHUN,2020
282,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,12.25,TAHUN,2020
283,32,JAWA BARAT,3213,KABUPATEN SUBANG,11.7,TAHUN,2020
284,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,12.11,TAHUN,2020
285,32,JAWA BARAT,3215,KABUPATEN KARAWANG,12.09,TAHUN,2020
286,32,JAWA BARAT,3216,KABUPATEN BEKASI,13.09,TAHUN,2020
287,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11.87,TAHUN,2020
288,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,12.07,TAHUN,2020
289,32,JAWA BARAT,3271,KOTA BOGOR,13.41,TAHUN,2020
290,32,JAWA BARAT,3272,KOTA SUKABUMI,13.47,TAHUN,2020
291,32,JAWA BARAT,3273,KOTA BANDUNG,14.2,TAHUN,2020
292,32,JAWA BARAT,3274,KOTA CIREBON,13.12,TAHUN,2020
293,32,JAWA BARAT,3275,KOTA BEKASI,14,TAHUN,2020
294,32,JAWA BARAT,3276,KOTA DEPOK,13.92,TAHUN,2020
295,32,JAWA BARAT,3277,KOTA CIMAHI,13.8,TAHUN,2020
296,32,JAWA BARAT,3278,KOTA TASIKMALAYA,13.45,TAHUN,2020
297,32,JAWA BARAT,3279,KOTA BANJAR,13.23,TAHUN,2020
298,32,JAWA BARAT,3201,KABUPATEN BOGOR,12.49,TAHUN,2021
299,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,12.24,TAHUN,2021
300,32,JAWA BARAT,3203,KABUPATEN CIANJUR,12,TAHUN,2021
301,32,JAWA BARAT,3204,KABUPATEN BANDUNG,12.7,TAHUN,2021
302,32,JAWA BARAT,3205,KABUPATEN GARUT,12.03,TAHUN,2021
303,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,12.54,TAHUN,2021
304,32,JAWA BARAT,3207,KABUPATEN CIAMIS,14.2,TAHUN,2021
305,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,12.23,TAHUN,2021
